onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin
0.25;0.473958333333;4;2;0;1;2;0.5;"""4/4""";64;0;1
0.75;0.236458333333;4;2;0;2;2;0.5;"""4/4""";69;0;0
1.0;0.473958333333;4;1;0;3;1;0.5;"""4/4""";74;0;0
1.5;0.236458333333;4;2;0;4;1;0.5;"""4/4""";73;0;0
1.75;0.236458333333;4;2;0;4;2;0.5;"""4/4""";69;0;0
2.0;1.89895833333;4;1;1;1;1;0.5;"""4/4""";64;0;0
