onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin
0.0;0.299375;4;1;1;1;1;0.3;"""4/4""";75;0;1
0.3;0.299375;4;1;1;2;1;0.3;"""4/4""";75;0;0
0.6;0.149375;4;2;1;3;1;0.3;"""4/4""";75;0;0
0.75;0.449375;4;2;1;3;2;0.3;"""4/4""";75;0;0
