onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch
2.6667;0.0833;4;3;1;3;3;0.400002392893;"""4/4""";60
2.8;0.2833;4;1;1;4;1;0.400002392893;"""4/4""";62
3.2;1.55;4;1;2;1;1;0.400002392893;"""4/4""";64
4.8;0.25;4;1;3;1;1;0.400002392893;"""4/4""";62
5.8667;0.0833;4;3;3;3;3;0.400002392893;"""4/4""";59
6.0;0.2667;4;1;3;4;1;0.400002392893;"""4/4""";62
6.4;1.0667;4;1;4;1;1;0.400002392893;"""4/4""";64
7.4667;0.1333;4;3;4;3;3;0.400002392893;"""4/4""";66
7.6;0.3833;4;1;4;4;1;0.400002392893;"""4/4""";64
8.0;0.2833;4;1;5;1;1;0.400002392893;"""4/4""";62
9.0667;0.0667;4;3;5;3;3;0.400002392893;"""4/4""";59
9.2;0.3167;4;1;5;4;1;0.400002392893;"""4/4""";59
9.6;0.3;4;1;6;1;1;0.400002392893;"""4/4""";60
10.0;0.3333;4;1;6;2;1;0.400002392893;"""4/4""";59
10.4;0.4;4;1;6;3;1;0.400002392893;"""4/4""";57
10.8;0.0833;4;3;6;4;1;0.400002392893;"""4/4""";55
11.0667;0.4833;4;3;6;4;3;0.400002392893;"""4/4""";60
11.6;0.2;4;3;7;2;1;0.400002392893;"""4/4""";59
11.8667;0.6167;4;3;7;2;3;0.400002392893;"""4/4""";57
13.2;0.25;4;1;8;2;1;0.400002392893;"""4/4""";59
13.6;0.2333;4;1;8;3;1;0.400002392893;"""4/4""";59
14.0;0.2;4;3;8;4;1;0.400002392893;"""4/4""";59
14.2667;0.8667;4;3;8;4;3;0.400002392893;"""4/4""";62
15.2;0.1167;4;3;9;3;1;0.400002392893;"""4/4""";60
15.4667;0.3167;4;3;9;3;3;0.400002392893;"""4/4""";59
15.8667;0.8333;4;3;9;4;3;0.400002392893;"""4/4""";60
16.8;0.1333;4;3;10;3;1;0.400002392893;"""4/4""";55
17.0667;0.25;4;3;10;3;3;0.400002392893;"""4/4""";57
17.4667;1.4667;4;3;10;4;3;0.400002392893;"""4/4""";59
19.6;0.2;4;1;12;2;1;0.400002392893;"""4/4""";59
20.0;0.15;4;3;12;3;1;0.400002392893;"""4/4""";59
20.2667;0.2333;4;3;12;3;3;0.400002392893;"""4/4""";59
20.6667;0.3667;4;3;12;4;3;0.400002392893;"""4/4""";62
21.0667;0.5333;4;3;13;1;3;0.400002392893;"""4/4""";60
21.6;0.3167;4;1;13;3;1;0.400002392893;"""4/4""";58
22.0;0.2833;4;1;13;4;1;0.400002392893;"""4/4""";55
22.4;0.75;4;1;14;1;1;0.400002392893;"""4/4""";55
23.2;0.2833;4;1;14;3;1;0.400002392893;"""4/4""";53
23.6;0.1667;4;3;14;4;1;0.400002392893;"""4/4""";50
23.8667;1.0833;4;3;14;4;3;0.400002392893;"""4/4""";43
26.0;0.2333;4;1;16;2;1;0.400002392893;"""4/4""";59
26.4;0.2;4;1;16;3;1;0.400002392893;"""4/4""";59
26.8;0.15;4;3;16;4;1;0.400002392893;"""4/4""";59
27.0667;0.85;4;3;16;4;3;0.400002392893;"""4/4""";62
28.0;0.15;4;3;17;3;1;0.400002392893;"""4/4""";60
28.2667;0.2167;4;3;17;3;3;0.400002392893;"""4/4""";59
28.6667;0.8333;4;3;17;4;3;0.400002392893;"""4/4""";60
29.6;0.3333;4;1;18;3;1;0.400002392893;"""4/4""";55
30.0;0.15;4;3;18;4;1;0.400002392893;"""4/4""";57
30.2667;0.9333;4;3;18;4;3;0.400002392893;"""4/4""";59
32.4;0.2333;4;1;20;2;1;0.400002392893;"""4/4""";59
32.8;0.2;4;1;20;3;1;0.400002392893;"""4/4""";59
33.2;0.15;4;3;20;4;1;0.400002392893;"""4/4""";59
33.4667;0.3167;4;3;20;4;3;0.400002392893;"""4/4""";62
33.8667;0.5167;4;3;21;1;3;0.400002392893;"""4/4""";60
34.4;0.3333;4;1;21;3;1;0.400002392893;"""4/4""";58
34.8;0.2833;4;1;21;4;1;0.400002392893;"""4/4""";55
35.2;0.75;4;1;22;1;1;0.400002392893;"""4/4""";55
36.0;0.3333;4;1;22;3;1;0.400002392893;"""4/4""";53
36.4;0.15;4;3;22;4;1;0.400002392893;"""4/4""";50
36.6667;0.3;4;3;22;4;3;0.400002392893;"""4/4""";43
37.2;0.2667;4;1;23;2;1;0.400002392893;"""4/4""";59
37.6;0.1667;4;3;23;3;1;0.400002392893;"""4/4""";59
37.8667;0.3;4;3;23;3;3;0.400002392893;"""4/4""";62
38.2667;1.4833;4;3;23;4;3;0.400002392893;"""4/4""";64
39.8667;0.5;4;3;24;4;3;0.400002392893;"""4/4""";62
40.8;0.1667;4;3;25;3;1;0.400002392893;"""4/4""";59
41.0667;0.25;4;3;25;3;3;0.400002392893;"""4/4""";62
41.4667;0.5;4;3;25;4;3;0.400002392893;"""4/4""";64
42.0;0.2333;4;1;26;2;1;0.400002392893;"""4/4""";62
42.4;0.3667;4;1;26;3;1;0.400002392893;"""4/4""";62
42.8;0.1;4;3;26;4;1;0.400002392893;"""4/4""";59
43.0667;0.4667;4;3;26;4;3;0.400002392893;"""4/4""";62
43.6;0.2333;4;3;27;2;1;0.400002392893;"""4/4""";64
43.8667;0.1667;4;3;27;2;3;0.400002392893;"""4/4""";59
44.2667;0.1;4;3;27;3;3;0.400002392893;"""4/4""";59
44.4;0.1833;4;3;27;4;1;0.400002392893;"""4/4""";62
44.6667;1.15;4;3;27;4;3;0.400002392893;"""4/4""";64
45.8667;0.1333;4;3;28;3;3;0.400002392893;"""4/4""";66
46.0;0.3833;4;1;28;4;1;0.400002392893;"""4/4""";64
46.4;0.3667;4;1;29;1;1;0.400002392893;"""4/4""";62
47.4667;0.0667;4;3;29;3;3;0.400002392893;"""4/4""";59
47.6;0.3333;4;1;29;4;1;0.400002392893;"""4/4""";59
48.0;0.2333;4;1;30;1;1;0.400002392893;"""4/4""";60
48.4;0.3;4;1;30;2;1;0.400002392893;"""4/4""";59
