onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch
4.2308;0.1683;4;3;1;4;2;0.576928150633;"""4/4""";60
4.4231;0.1923;4;3;1;4;3;0.576928150633;"""4/4""";62
4.6154;0.3365;4;3;2;1;1;0.576928150633;"""4/4""";63
5.0;0.1202;4;3;2;1;3;0.576928150633;"""4/4""";63
5.1923;0.3125;4;3;2;2;1;0.576928150633;"""4/4""";63
5.5769;0.1923;4;3;2;2;3;0.576928150633;"""4/4""";63
5.7692;0.3606;4;3;2;3;1;0.576928150633;"""4/4""";65
6.1538;0.1923;4;3;2;3;3;0.576928150633;"""4/4""";63
6.3462;0.3606;4;3;2;4;1;0.576928150633;"""4/4""";62
6.7308;0.1202;4;3;2;4;3;0.576928150633;"""4/4""";60
6.9231;0.5529;4;1;3;1;1;0.576928150633;"""4/4""";60
7.5;0.5048;4;1;3;2;1;0.576928150633;"""4/4""";55
8.0769;0.5288;4;1;3;3;1;0.576928150633;"""4/4""";60
8.6538;0.5769;4;1;3;4;1;0.576928150633;"""4/4""";58
9.2308;0.3846;4;3;4;1;1;0.576928150633;"""4/4""";56
9.6154;0.1923;4;3;4;1;3;0.576928150633;"""4/4""";60
9.8077;0.3846;4;3;4;2;1;0.576928150633;"""4/4""";59
10.1923;0.1923;4;3;4;2;3;0.576928150633;"""4/4""";60
10.3846;0.3846;4;3;4;3;1;0.576928150633;"""4/4""";62
10.7692;0.1923;4;3;4;3;3;0.576928150633;"""4/4""";60
10.9615;0.3846;4;3;4;4;1;0.576928150633;"""4/4""";59
11.3462;0.1923;4;3;4;4;3;0.576928150633;"""4/4""";56
11.5385;1.2019;4;1;5;1;1;0.576928150633;"""4/4""";55
13.4615;0.1202;4;3;5;4;2;0.576928150633;"""4/4""";60
13.6538;0.1923;4;3;5;4;3;0.576928150633;"""4/4""";62
13.8462;0.2885;4;3;6;1;1;0.576928150633;"""4/4""";63
14.2308;0.1202;4;3;6;1;3;0.576928150633;"""4/4""";63
14.4231;0.2885;4;3;6;2;1;0.576928150633;"""4/4""";63
14.8077;0.1923;4;3;6;2;3;0.576928150633;"""4/4""";63
15.0;0.3846;4;3;6;3;1;0.576928150633;"""4/4""";65
15.3846;0.1923;4;3;6;3;3;0.576928150633;"""4/4""";63
15.5769;0.3606;4;3;6;4;1;0.576928150633;"""4/4""";62
15.9615;0.0721;4;3;6;4;3;0.576928150633;"""4/4""";60
16.1538;0.5048;4;1;7;1;1;0.576928150633;"""4/4""";60
16.7308;0.5288;4;1;7;2;1;0.576928150633;"""4/4""";55
17.3077;0.5529;4;1;7;3;1;0.576928150633;"""4/4""";60
17.8846;0.5769;4;1;7;4;1;0.576928150633;"""4/4""";58
18.4615;0.3846;4;3;8;1;1;0.576928150633;"""4/4""";56
18.8462;0.1683;4;3;8;1;3;0.576928150633;"""4/4""";60
19.0385;0.3846;4;3;8;2;1;0.576928150633;"""4/4""";59
19.4231;0.1923;4;3;8;2;3;0.576928150633;"""4/4""";60
19.6154;0.3846;4;3;8;3;1;0.576928150633;"""4/4""";62
20.0;0.1683;4;3;8;3;3;0.576928150633;"""4/4""";60
20.1923;0.3846;4;3;8;4;1;0.576928150633;"""4/4""";59
20.5769;0.1923;4;3;8;4;3;0.576928150633;"""4/4""";56
20.7692;1.25;4;1;9;1;1;0.576928150633;"""4/4""";55
22.5;0.4327;4;1;9;4;1;0.576928150633;"""4/4""";60
23.0769;0.8173;4;1;10;1;1;0.576928150633;"""4/4""";58
23.9423;0.1442;4;4;10;2;3;0.576928150633;"""4/4""";60
24.0865;0.1442;4;4;10;2;4;0.576928150633;"""4/4""";58
24.2308;1.0096;4;1;10;3;1;0.576928150633;"""4/4""";55
27.6923;1.1058;4;1;12;1;1;0.576928150633;"""4/4""";58
28.8461;0.1923;4;3;12;3;1;0.576928150633;"""4/4""";60
29.0385;0.1683;4;3;12;3;2;0.576928150633;"""4/4""";58
29.2308;0.8413;4;3;12;3;3;0.576928150633;"""4/4""";55
31.9231;0.1442;4;3;13;4;2;0.576928150633;"""4/4""";60
32.1154;0.1923;4;3;13;4;3;0.576928150633;"""4/4""";62
32.3077;0.3365;4;3;14;1;1;0.576928150633;"""4/4""";63
32.6923;0.1202;4;3;14;1;3;0.576928150633;"""4/4""";63
32.8846;0.3125;4;3;14;2;1;0.576928150633;"""4/4""";63
33.2692;0.1923;4;3;14;2;3;0.576928150633;"""4/4""";63
33.4615;0.3606;4;3;14;3;1;0.576928150633;"""4/4""";65
33.8461;0.1923;4;3;14;3;3;0.576928150633;"""4/4""";63
34.0385;0.3606;4;3;14;4;1;0.576928150633;"""4/4""";62
34.4231;0.1202;4;3;14;4;3;0.576928150633;"""4/4""";60
34.6154;0.5529;4;1;15;1;1;0.576928150633;"""4/4""";60
35.1923;0.5048;4;1;15;2;1;0.576928150633;"""4/4""";55
35.7692;0.5288;4;1;15;3;1;0.576928150633;"""4/4""";60
36.3461;0.5769;4;1;15;4;1;0.576928150633;"""4/4""";58
36.9231;0.3846;4;3;16;1;1;0.576928150633;"""4/4""";56
37.3077;0.1923;4;3;16;1;3;0.576928150633;"""4/4""";60
37.5;0.3846;4;3;16;2;1;0.576928150633;"""4/4""";59
37.8846;0.1923;4;3;16;2;3;0.576928150633;"""4/4""";60
38.0769;0.3846;4;3;16;3;1;0.576928150633;"""4/4""";62
38.4615;0.1923;4;3;16;3;3;0.576928150633;"""4/4""";60
38.6538;0.3846;4;3;16;4;1;0.576928150633;"""4/4""";59
39.0385;0.1923;4;3;16;4;3;0.576928150633;"""4/4""";56
39.2308;1.2019;4;1;17;1;1;0.576928150633;"""4/4""";55
41.1538;0.1202;4;3;17;4;2;0.576928150633;"""4/4""";60
41.3461;0.1923;4;3;17;4;3;0.576928150633;"""4/4""";62
41.5385;0.2885;4;3;18;1;1;0.576928150633;"""4/4""";63
41.9231;0.1202;4;3;18;1;3;0.576928150633;"""4/4""";63
42.1154;0.2885;4;3;18;2;1;0.576928150633;"""4/4""";63
42.5;0.1923;4;3;18;2;3;0.576928150633;"""4/4""";63
42.6923;0.3846;4;3;18;3;1;0.576928150633;"""4/4""";65
43.0769;0.1923;4;3;18;3;3;0.576928150633;"""4/4""";63
43.2692;0.3606;4;3;18;4;1;0.576928150633;"""4/4""";62
43.6538;0.0721;4;3;18;4;3;0.576928150633;"""4/4""";60
43.8461;0.5048;4;1;19;1;1;0.576928150633;"""4/4""";60
44.4231;0.5288;4;1;19;2;1;0.576928150633;"""4/4""";55
45.0;0.5529;4;1;19;3;1;0.576928150633;"""4/4""";60
45.5769;0.5769;4;1;19;4;1;0.576928150633;"""4/4""";58
46.1538;0.3846;4;3;20;1;1;0.576928150633;"""4/4""";56
46.5385;0.1683;4;3;20;1;3;0.576928150633;"""4/4""";60
46.7308;0.3846;4;3;20;2;1;0.576928150633;"""4/4""";59
47.1154;0.1923;4;3;20;2;3;0.576928150633;"""4/4""";60
47.3077;0.3846;4;3;20;3;1;0.576928150633;"""4/4""";62
47.6923;0.1683;4;3;20;3;3;0.576928150633;"""4/4""";60
47.8846;0.3846;4;3;20;4;1;0.576928150633;"""4/4""";59
48.2692;0.1923;4;3;20;4;3;0.576928150633;"""4/4""";56
48.4615;1.25;4;1;21;1;1;0.576928150633;"""4/4""";55
50.1923;0.4327;4;1;21;4;1;0.576928150633;"""4/4""";60
50.7692;0.8173;4;1;22;1;1;0.576928150633;"""4/4""";58
51.6346;0.1442;4;4;22;2;3;0.576928150633;"""4/4""";60
51.7788;0.1442;4;4;22;2;4;0.576928150633;"""4/4""";58
51.9231;1.0096;4;1;22;3;1;0.576928150633;"""4/4""";55
55.3846;1.1058;4;1;24;1;1;0.576928150633;"""4/4""";58
56.5385;0.1923;4;3;24;3;1;0.576928150633;"""4/4""";60
56.7308;0.1683;4;3;24;3;2;0.576928150633;"""4/4""";58
56.9231;0.8413;4;3;24;3;3;0.576928150633;"""4/4""";55
