onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch
10.6299;0.1181;4;2;5;3;2;0.472438560979;"""4/4""";56
10.8661;0.0787;4;2;5;4;1;0.472438560979;"""4/4""";56
11.1023;0.1181;4;2;5;4;2;0.472438560979;"""4/4""";56
11.3386;0.2165;4;2;6;1;1;0.472438560979;"""4/4""";61
11.5748;0.2165;4;2;6;1;2;0.472438560979;"""4/4""";59
12.0472;0.4724;4;2;6;2;2;0.472438560979;"""4/4""";61
12.5197;0.1378;4;2;6;3;2;0.472438560979;"""4/4""";56
12.7559;0.2362;4;2;6;4;1;0.472438560979;"""4/4""";54
12.9921;0.1772;4;2;6;4;2;0.472438560979;"""4/4""";52
13.2283;0.1378;4;2;7;1;1;0.472438560979;"""4/4""";54
13.4645;0.1575;4;2;7;1;2;0.472438560979;"""4/4""";54
13.937;0.4331;4;2;7;2;2;0.472438560979;"""4/4""";54
14.6456;0.1969;4;2;7;4;1;0.472438560979;"""4/4""";49
14.8819;0.1772;4;2;7;4;2;0.472438560979;"""4/4""";52
15.1181;0.1181;4;2;8;1;1;0.472438560979;"""4/4""";54
15.3543;0.0984;4;2;8;1;2;0.472438560979;"""4/4""";54
15.5905;0.0984;4;2;8;2;1;0.472438560979;"""4/4""";54
15.8267;0.1575;4;2;8;2;2;0.472438560979;"""4/4""";56
16.063;0.2953;4;1;8;3;1;0.472438560979;"""4/4""";54
16.5354;0.1378;4;2;8;4;1;0.472438560979;"""4/4""";54
16.7716;0.6299;4;2;8;4;2;0.472438560979;"""4/4""";52
18.4252;0.2165;4;2;9;4;1;0.472438560979;"""4/4""";56
18.6614;0.2362;4;2;9;4;2;0.472438560979;"""4/4""";57
18.8976;0.1575;4;2;10;1;1;0.472438560979;"""4/4""";59
19.1338;0.0984;4;2;10;1;2;0.472438560979;"""4/4""";59
19.37;0.0591;4;2;10;2;1;0.472438560979;"""4/4""";59
19.6063;0.1378;4;2;10;2;2;0.472438560979;"""4/4""";59
19.8425;0.1969;4;2;10;3;1;0.472438560979;"""4/4""";61
20.0787;0.4134;4;2;10;3;2;0.472438560979;"""4/4""";63
20.5511;0.7087;4;2;10;4;2;0.472438560979;"""4/4""";59
22.2047;0.4724;4;1;11;4;1;0.472438560979;"""4/4""";56
22.6771;0.1181;4;2;12;1;1;0.472438560979;"""4/4""";59
22.9133;0.0984;4;2;12;1;2;0.472438560979;"""4/4""";59
23.1496;0.0984;4;2;12;2;1;0.472438560979;"""4/4""";59
23.3858;0.1378;4;2;12;2;2;0.472438560979;"""4/4""";59
23.622;0.2165;4;2;12;3;1;0.472438560979;"""4/4""";61
23.8582;0.3937;4;2;12;3;2;0.472438560979;"""4/4""";63
24.3307;0.6102;4;2;12;4;2;0.472438560979;"""4/4""";59
25.9842;0.2165;4;2;13;4;1;0.472438560979;"""4/4""";61
26.2204;0.1772;4;2;13;4;2;0.472438560979;"""4/4""";63
26.4566;0.1181;4;2;14;1;1;0.472438560979;"""4/4""";64
26.6929;0.0984;4;2;14;1;2;0.472438560979;"""4/4""";64
26.9291;0.0984;4;2;14;2;1;0.472438560979;"""4/4""";64
27.1653;0.1772;4;2;14;2;2;0.472438560979;"""4/4""";64
27.4015;0.0984;4;2;14;3;1;0.472438560979;"""4/4""";63
27.6377;0.1378;4;2;14;3;2;0.472438560979;"""4/4""";63
27.874;0.1378;4;2;14;4;1;0.472438560979;"""4/4""";61
28.1102;0.1181;4;2;14;4;2;0.472438560979;"""4/4""";63
28.3464;0.2362;4;2;15;1;1;0.472438560979;"""4/4""";61
28.5826;0.5709;4;2;15;1;2;0.472438560979;"""4/4""";59
29.7637;0.2362;4;2;15;4;1;0.472438560979;"""4/4""";54
29.9999;0.2165;4;2;15;4;2;0.472438560979;"""4/4""";56
30.2362;0.1181;4;2;16;1;1;0.472438560979;"""4/4""";57
30.4724;0.0984;4;2;16;1;2;0.472438560979;"""4/4""";57
30.7086;0.0984;4;2;16;2;1;0.472438560979;"""4/4""";57
30.9448;0.1181;4;2;16;2;2;0.472438560979;"""4/4""";57
31.181;0.3937;4;1;16;3;1;0.472438560979;"""4/4""";59
31.6535;0.1575;4;2;16;4;1;0.472438560979;"""4/4""";61
31.8897;0.5512;4;2;16;4;2;0.472438560979;"""4/4""";56
33.5432;0.2362;4;2;17;4;1;0.472438560979;"""4/4""";56
33.7795;0.2165;4;2;17;4;2;0.472438560979;"""4/4""";57
34.0157;0.1378;4;2;18;1;1;0.472438560979;"""4/4""";59
34.2519;0.0984;4;2;18;1;2;0.472438560979;"""4/4""";59
