onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch
10.5882;0.3676;4;1;7;1;1;0.441175783928;"""4/4""";66
11.0294;0.386;4;1;7;2;1;0.441175783928;"""4/4""";64
11.4706;0.4044;4;1;7;3;1;0.441175783928;"""4/4""";62
11.9118;0.3309;4;1;7;4;1;0.441175783928;"""4/4""";64
12.3529;0.6434;4;1;8;1;1;0.441175783928;"""4/4""";64
13.0882;0.9375;4;3;8;2;3;0.441175783928;"""4/4""";59
14.1176;0.3309;4;1;9;1;1;0.441175783928;"""4/4""";59
14.5588;0.3493;4;1;9;2;1;0.441175783928;"""4/4""";62
15.0;0.3309;4;1;9;3;1;0.441175783928;"""4/4""";67
15.4412;0.2574;4;3;9;4;1;0.441175783928;"""4/4""";67
15.7353;1.2684;4;3;9;4;3;0.441175783928;"""4/4""";66
17.5;0.5331;4;3;10;4;3;0.441175783928;"""4/4""";66
18.0882;0.386;4;1;11;2;1;0.441175783928;"""4/4""";64
18.5294;0.3676;4;1;11;3;1;0.441175783928;"""4/4""";62
18.9706;0.2022;4;3;11;4;1;0.441175783928;"""4/4""";64
19.2647;0.7537;4;3;11;4;3;0.441175783928;"""4/4""";64
20.147;0.9375;4;3;12;2;3;0.441175783928;"""4/4""";59
21.1764;0.3125;4;1;13;1;1;0.441175783928;"""4/4""";59
21.6176;0.3309;4;1;13;2;1;0.441175783928;"""4/4""";62
22.0588;0.3309;4;1;13;3;1;0.441175783928;"""4/4""";67
22.5;0.239;4;3;13;4;1;0.441175783928;"""4/4""";67
22.7941;0.6985;4;3;13;4;3;0.441175783928;"""4/4""";66
24.7059;0.625;4;1;15;1;1;0.441175783928;"""4/4""";66
25.4411;0.4963;4;3;15;2;3;0.441175783928;"""4/4""";62
26.4706;0.6066;4;1;16;1;1;0.441175783928;"""4/4""";64
27.2059;0.5882;4;3;16;2;3;0.441175783928;"""4/4""";59
28.2353;0.5882;4;1;17;1;1;0.441175783928;"""4/4""";66
28.9706;0.6066;4;3;17;2;3;0.441175783928;"""4/4""";62
30.0;0.5882;4;1;18;1;1;0.441175783928;"""4/4""";64
30.7353;0.7721;4;3;18;2;3;0.441175783928;"""4/4""";59
31.7647;0.2941;4;1;19;1;1;0.441175783928;"""4/4""";66
32.2058;0.3309;4;1;19;2;1;0.441175783928;"""4/4""";64
32.647;0.2022;4;3;19;3;1;0.441175783928;"""4/4""";62
32.9411;0.0735;4;3;19;3;3;0.441175783928;"""4/4""";62
33.0882;0.2757;4;1;19;4;1;0.441175783928;"""4/4""";64
33.5294;0.6434;4;1;20;1;1;0.441175783928;"""4/4""";64
34.2647;0.9743;4;3;20;2;3;0.441175783928;"""4/4""";59
35.7353;0.3125;4;1;21;2;1;0.441175783928;"""4/4""";67
36.1764;0.3125;4;1;21;3;1;0.441175783928;"""4/4""";67
36.6176;0.2206;4;3;21;4;1;0.441175783928;"""4/4""";67
36.9117;0.4412;4;3;21;4;3;0.441175783928;"""4/4""";66
37.3529;0.1471;4;3;22;1;3;0.441175783928;"""4/4""";64
37.5;0.8272;4;1;22;2;1;0.441175783928;"""4/4""";62
38.8235;0.3676;4;1;23;1;1;0.441175783928;"""4/4""";66
39.2647;0.386;4;1;23;2;1;0.441175783928;"""4/4""";64
39.7058;0.4044;4;1;23;3;1;0.441175783928;"""4/4""";62
40.147;0.3309;4;1;23;4;1;0.441175783928;"""4/4""";64
40.5882;0.6434;4;1;24;1;1;0.441175783928;"""4/4""";64
41.3235;0.9375;4;3;24;2;3;0.441175783928;"""4/4""";59
42.3529;0.3309;4;1;25;1;1;0.441175783928;"""4/4""";59
42.7941;0.3493;4;1;25;2;1;0.441175783928;"""4/4""";62
43.2352;0.3309;4;1;25;3;1;0.441175783928;"""4/4""";67
43.6764;0.2574;4;3;25;4;1;0.441175783928;"""4/4""";67
43.9705;1.2684;4;3;25;4;3;0.441175783928;"""4/4""";66
45.7352;0.5331;4;3;26;4;3;0.441175783928;"""4/4""";66
46.3235;0.386;4;1;27;2;1;0.441175783928;"""4/4""";64
46.7647;0.3676;4;1;27;3;1;0.441175783928;"""4/4""";62
47.2058;0.2022;4;3;27;4;1;0.441175783928;"""4/4""";64
47.4999;0.7537;4;3;27;4;3;0.441175783928;"""4/4""";64
48.3823;0.9375;4;3;28;2;3;0.441175783928;"""4/4""";59
49.4117;0.3125;4;1;29;1;1;0.441175783928;"""4/4""";59
49.8529;0.3309;4;1;29;2;1;0.441175783928;"""4/4""";62
50.2941;0.3309;4;1;29;3;1;0.441175783928;"""4/4""";67
50.7352;0.239;4;3;29;4;1;0.441175783928;"""4/4""";67
51.0294;0.6985;4;3;29;4;3;0.441175783928;"""4/4""";66
52.9411;0.625;4;1;31;1;1;0.441175783928;"""4/4""";66
53.6764;0.4963;4;3;31;2;3;0.441175783928;"""4/4""";62
54.7058;0.6066;4;1;32;1;1;0.441175783928;"""4/4""";64
55.4411;0.5882;4;3;32;2;3;0.441175783928;"""4/4""";59
