onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch
12.5;0.5;4;1;7;2;1;0.5;"""4/4""";54
13.0;0.1875;4;2;7;3;1;0.5;"""4/4""";56
13.25;0.4792;4;2;7;3;2;0.5;"""4/4""";57
13.75;0.4792;4;2;7;4;2;0.5;"""4/4""";63
14.25;0.4792;4;2;8;1;2;0.5;"""4/4""";61
14.75;1.1875;4;2;8;2;2;0.5;"""4/4""";64
16.5;0.5;4;1;9;2;1;0.5;"""4/4""";54
17.0;0.2292;4;2;9;3;1;0.5;"""4/4""";56
17.25;0.4792;4;2;9;3;2;0.5;"""4/4""";57
17.75;0.5;4;2;9;4;2;0.5;"""4/4""";63
18.25;1.6667;4;2;10;1;2;0.5;"""4/4""";61
20.5;0.5;4;1;11;2;1;0.5;"""4/4""";54
21.0;0.1875;4;2;11;3;1;0.5;"""4/4""";56
21.25;0.4375;4;2;11;3;2;0.5;"""4/4""";57
21.75;0.5;4;2;11;4;2;0.5;"""4/4""";63
22.25;0.4375;4;2;12;1;2;0.5;"""4/4""";61
22.75;1.1458;4;2;12;2;2;0.5;"""4/4""";64
24.5;0.5;4;1;13;2;1;0.5;"""4/4""";64
25.0;0.2292;4;2;13;3;1;0.5;"""4/4""";61
25.25;0.4583;4;2;13;3;2;0.5;"""4/4""";57
25.75;0.4792;4;2;13;4;2;0.5;"""4/4""";56
26.25;1.1667;4;2;14;1;2;0.5;"""4/4""";54
27.5;0.2292;4;2;14;4;1;0.5;"""4/4""";49
27.75;0.25;4;2;14;4;2;0.5;"""4/4""";47
28.0;0.75;4;1;15;1;1;0.5;"""4/4""";49
28.75;2.3125;4;2;15;2;2;0.5;"""4/4""";56
32.5;0.5;4;1;17;2;1;0.5;"""4/4""";54
33.0;0.1875;4;2;17;3;1;0.5;"""4/4""";56
33.25;0.4792;4;2;17;3;2;0.5;"""4/4""";57
33.75;0.4792;4;2;17;4;2;0.5;"""4/4""";63
34.25;0.4792;4;2;18;1;2;0.5;"""4/4""";61
34.75;1.1875;4;2;18;2;2;0.5;"""4/4""";64
36.5;0.5;4;1;19;2;1;0.5;"""4/4""";54
37.0;0.2292;4;2;19;3;1;0.5;"""4/4""";56
37.25;0.4792;4;2;19;3;2;0.5;"""4/4""";57
37.75;0.5;4;2;19;4;2;0.5;"""4/4""";63
38.25;1.6667;4;2;20;1;2;0.5;"""4/4""";61
40.5;0.5;4;1;21;2;1;0.5;"""4/4""";54
41.0;0.1875;4;2;21;3;1;0.5;"""4/4""";56
41.25;0.4375;4;2;21;3;2;0.5;"""4/4""";57
41.75;0.5;4;2;21;4;2;0.5;"""4/4""";63
42.25;0.4375;4;2;22;1;2;0.5;"""4/4""";61
42.75;1.1458;4;2;22;2;2;0.5;"""4/4""";64
44.5;0.5;4;1;23;2;1;0.5;"""4/4""";64
45.0;0.2292;4;2;23;3;1;0.5;"""4/4""";61
45.25;0.4583;4;2;23;3;2;0.5;"""4/4""";57
45.75;0.4792;4;2;23;4;2;0.5;"""4/4""";56
46.25;1.1667;4;2;24;1;2;0.5;"""4/4""";54
47.5;0.2292;4;2;24;4;1;0.5;"""4/4""";49
47.75;0.25;4;2;24;4;2;0.5;"""4/4""";47
48.0;0.75;4;1;25;1;1;0.5;"""4/4""";49
48.75;2.3125;4;2;25;2;2;0.5;"""4/4""";56
52.75;0.0625;4;2;27;2;2;0.5;"""4/4""";56
53.0;0.0833;4;2;27;3;1;0.5;"""4/4""";56
53.25;0.4167;4;2;27;3;2;0.5;"""4/4""";56
53.75;2.125;4;2;27;4;2;0.5;"""4/4""";59
56.5;0.4167;4;1;29;2;1;0.5;"""4/4""";63
57.0;0.125;4;2;29;3;1;0.5;"""4/4""";59
57.25;0.3542;4;2;29;3;2;0.5;"""4/4""";56
57.75;2.1667;4;2;29;4;2;0.5;"""4/4""";59
60.5;0.4167;4;1;31;2;1;0.5;"""4/4""";63
61.0;0.1042;4;2;31;3;1;0.5;"""4/4""";59
61.25;0.3125;4;2;31;3;2;0.5;"""4/4""";56
61.75;1.0833;4;2;31;4;2;0.5;"""4/4""";59
63.0;0.375;4;1;32;3;1;0.5;"""4/4""";56
63.5;0.3125;4;1;32;4;1;0.5;"""4/4""";59
64.0;0.1667;4;2;33;1;1;0.5;"""4/4""";56
64.25;3.1667;4;2;33;1;2;0.5;"""4/4""";54
68.5;0.4167;4;1;35;2;1;0.5;"""4/4""";54
69.0;0.125;4;2;35;3;1;0.5;"""4/4""";56
69.25;0.3333;4;2;35;3;2;0.5;"""4/4""";57
