onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch
0.00126316;0.00010088;4;1;7;1;1;0.526315706985;"""4/4""";60
0.00136842;9.649e-05;4;1;7;3;1;0.526315706985;"""4/4""";60
0.00152632;5.263e-05;4;1;8;2;1;0.526315706985;"""4/4""";61
0.00157895;9.211e-05;4;1;8;3;1;0.526315706985;"""4/4""";56
0.00168421;4.825e-05;4;1;9;1;1;0.526315706985;"""4/4""";55
0.00173684;5.044e-05;4;1;9;2;1;0.526315706985;"""4/4""";60
0.00178947;4.605e-05;4;1;9;3;1;0.526315706985;"""4/4""";55
0.00184211;4.825e-05;4;1;9;4;1;0.526315706985;"""4/4""";55
0.00189474;5.263e-05;4;1;10;1;1;0.526315706985;"""4/4""";53
0.00194737;5.263e-05;4;1;10;2;1;0.526315706985;"""4/4""";56
0.002;5.263e-05;4;1;10;3;1;0.526315706985;"""4/4""";59
0.00205263;5.044e-05;4;1;10;4;1;0.526315706985;"""4/4""";56
0.00210526;0.00010307;4;1;11;1;1;0.526315706985;"""4/4""";55
0.00221053;5.044e-05;4;1;11;3;1;0.526315706985;"""4/4""";53
0.00226316;2.632e-05;4;3;11;4;1;0.526315706985;"""4/4""";56
0.00229825;0.00012719;4;3;11;4;3;0.526315706985;"""4/4""";55
0.00252632;0.00010088;4;1;13;1;1;0.526315706985;"""4/4""";60
0.00263158;9.43e-05;4;1;13;3;1;0.526315706985;"""4/4""";60
0.00278947;4.825e-05;4;1;14;2;1;0.526315706985;"""4/4""";61
0.00284211;8.772e-05;4;1;14;3;1;0.526315706985;"""4/4""";56
0.00294737;5.044e-05;4;1;15;1;1;0.526315706985;"""4/4""";55
0.003;5.263e-05;4;1;15;2;1;0.526315706985;"""4/4""";60
0.00305263;4.386e-05;4;1;15;3;1;0.526315706985;"""4/4""";55
0.00310526;5.044e-05;4;1;15;4;1;0.526315706985;"""4/4""";55
0.0031579;5.044e-05;4;1;16;1;1;0.526315706985;"""4/4""";53
0.00321053;5.263e-05;4;1;16;2;1;0.526315706985;"""4/4""";56
0.00326316;5.263e-05;4;1;16;3;1;0.526315706985;"""4/4""";59
0.00331579;4.605e-05;4;1;16;4;1;0.526315706985;"""4/4""";56
0.00336842;8.772e-05;4;1;17;1;1;0.526315706985;"""4/4""";55
0.00347369;3.509e-05;4;3;17;3;1;0.526315706985;"""4/4""";53
0.00350877;3.509e-05;4;3;17;3;3;0.526315706985;"""4/4""";55
0.00354386;2.851e-05;4;3;17;4;2;0.526315706985;"""4/4""";56
