onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch
11.1207;0.2155;4;2;6;2;2;0.517240934196;"""4/4""";64
11.3793;0.2586;4;2;6;3;1;0.517240934196;"""4/4""";65
11.6379;0.2586;4;2;6;3;2;0.517240934196;"""4/4""";64
11.8965;0.2155;4;2;6;4;1;0.517240934196;"""4/4""";62
12.1551;0.194;4;2;6;4;2;0.517240934196;"""4/4""";60
12.4138;0.7543;4;1;7;1;1;0.517240934196;"""4/4""";57
13.1896;0.2371;4;2;7;2;2;0.517240934196;"""4/4""";64
13.4482;0.2586;4;2;7;3;1;0.517240934196;"""4/4""";65
13.7069;0.2586;4;2;7;3;2;0.517240934196;"""4/4""";64
13.9655;0.2586;4;2;7;4;1;0.517240934196;"""4/4""";62
14.2241;0.2586;4;2;7;4;2;0.517240934196;"""4/4""";60
14.4827;1.0776;4;1;8;1;1;0.517240934196;"""4/4""";59
16.0344;0.2586;4;2;8;4;1;0.517240934196;"""4/4""";57
16.2931;0.2371;4;2;8;4;2;0.517240934196;"""4/4""";55
16.5517;0.2586;4;2;9;1;1;0.517240934196;"""4/4""";57
16.8103;0.2586;4;2;9;1;2;0.517240934196;"""4/4""";60
17.0689;0.2371;4;2;9;2;1;0.517240934196;"""4/4""";57
17.3275;1.2715;4;2;9;2;2;0.517240934196;"""4/4""";55
19.3965;0.2586;4;2;10;2;2;0.517240934196;"""4/4""";64
19.6551;0.2586;4;2;10;3;1;0.517240934196;"""4/4""";65
19.9137;0.2586;4;2;10;3;2;0.517240934196;"""4/4""";64
20.1724;0.2586;4;2;10;4;1;0.517240934196;"""4/4""";62
20.431;0.2586;4;2;10;4;2;0.517240934196;"""4/4""";60
20.6896;0.6681;4;1;11;1;1;0.517240934196;"""4/4""";57
21.4655;0.2586;4;2;11;2;2;0.517240934196;"""4/4""";64
21.7241;0.2371;4;2;11;3;1;0.517240934196;"""4/4""";65
21.9827;0.2586;4;2;11;3;2;0.517240934196;"""4/4""";64
22.2413;0.2586;4;2;11;4;1;0.517240934196;"""4/4""";62
22.4999;0.2586;4;2;11;4;2;0.517240934196;"""4/4""";60
22.7586;1.2715;4;1;12;1;1;0.517240934196;"""4/4""";59
24.3103;0.4095;4;1;12;4;1;0.517240934196;"""4/4""";64
24.8275;0.2155;4;2;13;1;1;0.517240934196;"""4/4""";62
25.0861;1.6595;4;2;13;1;2;0.517240934196;"""4/4""";60
27.931;0.1293;4;2;14;3;1;0.517240934196;"""4/4""";64
28.1896;0.1078;4;2;14;3;2;0.517240934196;"""4/4""";64
28.4482;0.1724;4;2;14;4;1;0.517240934196;"""4/4""";64
28.7068;1.4655;4;2;14;4;2;0.517240934196;"""4/4""";69
32.0689;0.2586;4;2;16;3;1;0.517240934196;"""4/4""";64
32.3275;0.2586;4;2;16;3;2;0.517240934196;"""4/4""";67
32.5861;0.2586;4;2;16;4;1;0.517240934196;"""4/4""";64
32.8447;1.5302;4;2;16;4;2;0.517240934196;"""4/4""";69
35.9482;0.2586;4;2;18;2;2;0.517240934196;"""4/4""";64
36.2068;0.2586;4;2;18;3;1;0.517240934196;"""4/4""";65
36.4654;0.2586;4;2;18;3;2;0.517240934196;"""4/4""";64
36.724;0.2155;4;2;18;4;1;0.517240934196;"""4/4""";62
36.9827;0.2371;4;2;18;4;2;0.517240934196;"""4/4""";60
37.2413;0.7759;4;1;19;1;1;0.517240934196;"""4/4""";57
38.0171;0.2586;4;2;19;2;2;0.517240934196;"""4/4""";64
38.2758;0.2586;4;2;19;3;1;0.517240934196;"""4/4""";65
38.5344;0.2586;4;2;19;3;2;0.517240934196;"""4/4""";64
38.793;0.2586;4;2;19;4;1;0.517240934196;"""4/4""";62
39.0516;0.2371;4;2;19;4;2;0.517240934196;"""4/4""";60
39.3102;1.3147;4;1;20;1;1;0.517240934196;"""4/4""";59
40.862;0.431;4;1;20;4;1;0.517240934196;"""4/4""";64
41.3792;0.2371;4;2;21;1;1;0.517240934196;"""4/4""";62
