onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
19.4873469388;0.463673469388;4;2;8;3;2;0.490975056689;"""4/4""";68;4;0;1;A7;A1;lick
20.2187755102;0.0881632653061;4;4;9;1;2;0.500839002268;"""4/4""";68;4;0;1;D-7;A1;lick
20.3346938776;0.130612244898;4;4;9;1;3;0.500839002268;"""4/4""";67;4;0;1;D-7;A1;lick
20.4702040816;0.179591836735;4;4;9;1;4;0.500839002268;"""4/4""";69;4;0;1;D-7;A1;lick
20.7265306122;0.228571428571;4;4;9;2;2;0.492040816327;"""4/4""";65;4;0;1;D-7;A1;lick
20.9836734694;0.212244897959;4;4;9;2;4;0.492040816327;"""4/4""";62;4;0;1;D-7;A1;lick
21.2506122449;0.254693877551;4;4;9;3;2;0.513832199546;"""4/4""";60;4;0;1;D-7;A1;lick
21.5248979592;0.342857142857;4;4;9;3;4;0.513832199546;"""4/4""";59;4;0;1;D-7;A1;lick
24.2040816327;0.289795918367;4;2;11;1;1;0.513537414966;"""4/4""";76;5;1;1;C7;A1;lick
24.506122449;0.202448979592;4;2;11;1;2;0.513537414966;"""4/4""";79;5;0;1;C7;A1;lick
24.773877551;0.277551020408;4;2;11;2;2;0.502562358277;"""4/4""";79;5;0;1;C7;A1;lick
25.2;0.236734693878;4;3;11;3;1;0.512653061224;"""4/4""";77;5;0;1;C7;A1;lick
25.5314285714;0.222040816327;4;3;11;3;3;0.512653061224;"""4/4""";79;5;0;1;C7;A1;lick
25.7763265306;0.287346938776;4;1;11;4;1;0.49253968254;"""4/4""";79;5;0;1;C7;A1;lick
26.2285714286;0.281632653061;4;2;12;1;1;0.508321995465;"""4/4""";76;5;0;1;D-7;A1;lick
26.5110204082;0.17306122449;4;2;12;1;2;0.508321995465;"""4/4""";79;5;0;1;D-7;A1;lick
26.7428571429;0.215510204082;4;1;12;2;1;0.528866213152;"""4/4""";79;5;0;1;D-7;A1;lick
27.2081632653;0.297959183673;4;2;12;3;1;0.500929705215;"""4/4""";77;5;0;1;G7;A1;lick
